,Player,height,weight,born
1602,Clyde Drexler*,201,95,1962
1603,Craig Ehlo,198,81,1961
1604,Dale Ellis,201,92,1960
1605,Rod Foster,185,72,1960
1606,John Garris,203,92,1959
1607,Mike Gibson,208,92,1960
1608,Stewart Granger,190,86,1961
1609,Sidney Green,188,83,1933
1610,Bob Hansen,198,86,1961
1611,Derek Harper,193,83,1961
1612,Roy Hinson,206,95,1961
1613,Charles Jones,206,97,1957
1614,Mark Jones,206,102,1953
1615,Greg Kite,211,113,1961
1616,Bruce Kuczenski,208,104,1961
1617,Darrell Lockhart,206,111,1960
1618,Sidney Lowe,183,88,1960
1619,Jeff Malone,193,92,1961
1620,Pace Mannion,201,86,1960
1621,Rodney McCray,201,99,1961
1622,Scooter McCray,206,97,1960
1623,Larry Micheaux,206,99,1960
1624,Bob Miller,208,104,1956
1625,John Paxson,188,83,1960
1626,John Pinone,203,104,1961
1627,Tom Piotrowski,216,108,1960
1628,Leo Rautins,203,97,1960
1629,Doc Rivers,193,83,1961
1630,Fred Roberts,208,98,1960
1631,Ralph Sampson*,224,103,1960
1632,Byron Scott,190,88,1961
1633,Steve Stipanovich,211,111,1960
1634,Jon Sundvold,188,77,1961
1635,Dane Suttle,190,86,1961
1636,Jim Thomas,190,86,1960
1637,Paul Thompson,198,95,1961
1638,Sedale Threatt,188,79,1961
1639,Granville Waiters,211,102,1961
1640,Darrell Walker,193,81,1961
1641,Brant Weidner,206,104,1960
1642,Mark West,208,104,1960
1643,Ennis Whatley,190,80,1962
1644,Mitchell Wiggins,193,83,1959
1645,Kevin Williams,188,79,1961
1646,Michael Wilson,193,79,1959
1647,Randy Wittman,198,95,1959
1648,Chuck Aleksinas,211,117,1959
1649,Ron Anderson,201,97,1958
1650,Ken Bannister,206,106,1960
1651,Charles Barkley*,198,114,1963
1652,Cory Blackwell,198,95,1963
1653,Sam Bowie,216,106,1961
1654,Frank Brickowski,206,108,1959
1655,Tony Brown,198,83,1960
1656,Steve Burtt,188,83,1962
1657,Michael Cage,206,101,1962
1658,Tony Campbell,201,97,1962
1659,Rick Carlisle,196,95,1959
1660,Antoine Carr,206,102,1961
1661,Ron Cavenall,216,104,1959
1662,Steve Colter,190,74,1962
1663,Devin Durrant,201,90,1960
1664,Kenton Edelin,203,92,1962
1665,Kenny Fields,196,99,1962
1666,Vern Fleming,196,83,1962
1667,Lancaster Gordon,190,83,1962
1668,Butch Graves,190,90,1962
1669,Stuart Gray,213,106,1963
1670,Mike Holton,193,83,1961
1671,Jay Humphries,190,83,1962
1672,Ralph Jackson,188,86,1962
1673,Earl Jones,213,95,1961
1674,Ozell Jones,211,106,1960
1675,Michael Jordan*,198,88,1963
1676,Jerome Kersey,201,97,1962
1677,Tim McCormick,211,108,1962
1678,Jay Murphy,206,99,1962
1679,Hakeem Olajuwon*,213,115,1963
1680,Sam Perkins,206,106,1961
1681,Jim Petersen,208,106,1962
1682,Gary Plummer,206,97,1962
1683,David Pope,201,99,1962
1684,Alvin Robertson,190,83,1962
1685,Wayne Sappleton,206,97,1960
1686,Tom Scheffler,211,108,1954
1687,John Schweitz,198,95,1960
1688,Tom Sewell,196,83,1962
1689,Charlie Sitton,203,95,1962
1690,Tom Sluby,193,90,1962
1691,Terence Stansbury,196,77,1961
1692,John Stockton*,185,77,1962
1693,Peter Thibeaux,201,95,1961
1694,Bernard Thompson,198,95,1962
1695,Otis Thorpe,206,102,1962
1696,Jeff Turner,206,104,1962
1697,Melvin Turpin,211,108,1960
1698,Willie White,190,88,1962
1699,Eddie Lee,190,88,1962
1700,Dale Wilkinson,208,99,1960
1701,Guy Williams,188,79,1953
1702,Kevin Willis,188,79,1961
1703,Othell Wilson,183,86,1961
1704,Leon Wood,190,83,1962
1705,Danny Young,190,79,1962
1706,Michael Young,201,99,1961
1707,Michael Adams,178,73,1963
1708,John Battle,188,79,1962
1709,Benoit Benjamin,213,113,1964
1710,Uwe Blab,216,114,1962
1711,Manute Bol,231,90,1962
1712,Mike Brittain,213,106,1963
1713,Terry Catledge,203,99,1963
1714,Lorenzo Charles,201,102,1963
1715,Fred Cofield,190,86,1962
1716,David Cooke,203,104,1963
1717,Tyrone Corbin,198,95,1962
1718,Ron Crevier,213,106,1958
1719,Jeff Cross,208,108,1961
1720,Joe Dumars*,190,86,1963
1721,Patrick Ewing*,213,108,1962
1722,Georgi Glouchkov,203,106,1960
1723,A.C. Green,203,106,1960
1724,Ken Green,203,97,1959
1725,Kenny Green,203,97,1959
1726,Claude Gregory,203,92,1958
1727,Steve Harris,196,88,1963
1728,Jerome Henderson,211,104,1959
1729,Carl Henry,198,92,1960
1730,Alfredrick Hughes,198,92,1960
1731,Ken Johnson,203,108,1962
1732,Yvon Joseph,211,111,1957
1733,Harold Keeling,193,83,1963
1734,Joe Kleine,211,115,1962
1735,Jon Koncak,213,113,1963
1736,Keith Lee,208,97,1962
1737,Karl Malone*,206,113,1963
1738,Bill Martin,201,92,1962
1739,Brian Martin,206,96,1962
1740,Dwayne McClain,198,83,1963
1741,Xavier McDaniel,201,92,1963
1742,Ben McDonald,203,95,1962
1743,Chris McNealy,201,95,1961
1744,Dirk Minniefield,190,81,1961
1745,Perry Moss,188,83,1958
1746,Chris Mullin*,198,90,1963
1747,Charles Oakley,203,102,1963
1748,Michael Phelps,193,81,1961
1749,Ed Pinckney,206,88,1963
1750,Terry Porter,190,88,1963
1751,Blair Rasmussen,213,113,1962
1752,Jerry Reynolds,203,90,1962
1753,Derrick Rowland,196,88,1959
1754,Detlef Schrempf,206,97,1963
1755,Carey Scurry,201,85,1962
1756,Mike Smrek,213,113,1962
1757,Alex Stivrins,203,99,1962
1758,Greg Stokes,208,99,1963
1759,Bob Thornton,208,102,1962
1760,Wayman Tisdale,206,108,1964
1761,Sedric Toney,188,80,1962
1762,Nick Vanos,216,115,1963
1763,Sam Vincent,188,83,1963
1764,Spud Webb,168,60,1963
1765,Bill Wennington,213,111,1963
1766,Gerald Wilkins,198,83,1963
1767,Pete Williams,201,86,1965
1768,Voise Winters,203,90,1962
1769,Rafael Addison,201,97,1964
1770,Mark Alarie,203,98,1963
1771,William Bedford,213,102,1963
1772,Walter Berry,203,97,1964
1773,Joe Binion,203,106,1961
1774,Adrian Branch,201,83,1963
1775,Mike Brown,206,116,1963
1776,Ben Coleman,206,106,1961
1777,Dell Curry,193,86,1964
1778,Brad Daugherty,213,111,1965
1779,Johnny Dawkins,188,74,1963
1780,Bruce Douglas,190,88,1964
1781,Greg Dreiling,216,113,1962
1782,Kevin Duckworth,213,124,1964
1783,Dave Feitl,211,106,1962
1784,Kenny Gattison,203,102,1964
1785,Grant Gondrezick,196,92,1963
1786,Ron Harper,198,83,1964
1787,Cedric Henderson,203,95,1965
1788,Kevin Henderson,193,88,1964
1789,Conner Henry,201,88,1963
1790,Jeff Hornacek,190,86,1963
1791,Myron Jackson,190,83,1964
1792,Buck Johnson,201,86,1964
1793,Steffond Johnson,203,99,1944
1794,Anthony Jones,198,88,1962
1795,Tim Kempton,208,111,1964
1796,Curtis Kitchen,206,106,1964
1797,Larry Krystkowiak,206,99,1964
1798,Jim Lampley,208,104,1960
1799,Fernando Martin,206,99,1962
1800,Maurice Martin,198,90,1964
1801,Forrest McKenzie,201,90,1963
1802,Nate McMillan,196,88,1964
1803,Cozell McQueen,211,106,1962
1804,Pete Myers,198,81,1963
1805,Johnny Newman,201,86,1963
1806,Dennis Nutt,188,77,1963
1807,Chuck Person,203,99,1964
1808,Dwayne Polee,196,81,1963
1809,Harold Pressley,201,95,1963
1810,Mark Price,183,77,1964
1811,Dennis Rodman*,201,95,1961
1812,Johnny Rogers,208,102,1963
1813,Ron Rowan,196,90,1962
1814,John Salley,211,104,1964
1815,Brad Sellers,213,95,1962
1816,McKinley Singleton,196,79,1961
1817,Scott Skiles,185,81,1964
1818,Clinton Smith,198,95,1964
1819,Keith Smith,190,77,1965
1820,Otis Smith,196,95,1964
1821,Roy Tarpley,211,104,1964
1822,Billy Thompson,201,88,1963
1823,Andre Turner,180,72,1964
1824,Kenny Walker,203,95,1964
1825,Chris Washburn,211,102,1965
1826,Pearl Washington,188,86,1964
1827,John Williams,188,83,1951
1828,David Wingate,196,83,1963
1829,Brad Wright,211,102,1962
1830,Perry Young,196,95,1963
1831,Mark Acres,211,99,1962
1832,Steve Alford,188,83,1964
1833,Greg Anderson,208,104,1964
1834,Joe Arlauckas,206,104,1965
1835,Vincent Askew,198,95,1966
1836,Nate Blackwell,193,77,1965
1837,Muggsy Bogues,160,61,1965
1838,Norris Coleman,203,95,1961
1839,Dallas Comegys,206,92,1964
1840,Winston Crite,201,105,1965
1841,Billy Donovan,180,77,1965
1842,Chris Dudley,188,81,1950
1843,Jim Farmer,193,86,1964
1844,Tellis Frank,208,102,1965
1845,Kevin Gamble,196,95,1965
1846,Winston Garland,188,77,1964
1847,Armen Gilliam,206,104,1964
1848,Horace Grant,208,97,1965
1849,Dave Henderson,196,88,1964
1850,Dave Hoppen,211,106,1964
1851,Dennis Hopson,196,90,1965
1852,Eddie Hughes,178,74,1960
1853,Mark Jackson,185,81,1965
1854,Michael Jackson,201,97,1949
1855,Kannard Johnson,206,99,1965
1856,Kevin Johnson,203,108,1962
1857,Bart Kofoed,193,95,1964
1858,Ralph Lewis,198,90,1963
1859,Reggie Lewis,201,88,1965
1860,Brad Lohaus,211,104,1964
1861,Derrick McKey,206,92,1966
1862,Reggie Miller*,201,83,1965
1863,Andre Moore,206,97,1964
1864,Ron Moore,213,117,1962
1865,Ronnie Murphy,196,102,1964
1866,Tod Murphy,206,99,1963
1867,Martin Nessley,218,117,1965
1868,Ken Norman,203,97,1964
1869,Scottie Pippen*,203,95,1965
1870,Olden Polynice,211,99,1964
1871,Richard Rellford,198,104,1964
1872,Scott Roth,203,96,1963
1873,Brian Rowsom,206,99,1965
1874,Kenny Smith,190,77,1965
1875,John Stroeder,208,117,1958
1876,Mark Wade,180,72,1965
1877,Milt Wagner,196,83,1963
1878,Jamie Waller,193,97,1964
1879,Duane Washington,193,88,1964
1880,Chris Welp,213,111,1964
1881,Clinton Wheeler,185,83,1959
1882,Eric White,203,90,1965
1883,Tony White,188,77,1965
1884,Reggie Williams,201,86,1964
1885,Nikita Wilson,203,90,1964
1886,Ricky Wilson,196,90,1956
1887,Rickie Winslow,203,102,1964
1888,Joe Wolf,211,104,1964
1889,Phil Zevenbergen,208,104,1964
1890,Randy Allen,203,99,1965
1891,Michael Anderson,180,83,1966
1892,Willie Anderson,201,86,1967
1893,Ricky Berry,203,92,1964
1894,Anthony Bowie,198,86,1963
1895,Scott Brooks,180,74,1965
1896,Mark Bryant,206,111,1965
1897,Greg Butler,211,108,1966
1898,Mike Champion,208,104,1964
1899,Rex Chapman,193,83,1967
1900,Derrick Chievous,201,88,1967
1901,Mark Davis,198,88,1963
1902,Vinny Del,198,88,1963
1903,Fennis Dembo,196,97,1966
1904,Ledell Eackles,196,99,1966
1905,Kevin Edwards,190,86,1965
1906,Wayne Englestad,203,111,1966
1907,Rolando Ferreira,216,108,1964
1908,Duane Ferrell,201,94,1965
1909,Anthony Frederick,201,92,1964
1910,Corey Gaines,190,88,1965
1911,Tom Garrick,188,83,1966
1912,Ben Gillery,213,106,1965
1913,Orlando Graham,203,99,1965
1914,Ron Grandison,198,97,1964
1915,Gary Grant,190,83,1965
1916,Harvey Grant,203,88,1965
1917,Sylvester Gray,198,104,1967
1918,Jeff Grayer,196,90,1965
1919,Jack Haley,208,108,1964
1920,Hersey Hawkins,190,86,1966
1921,Tito Horford,216,111,1966
1922,Avery Johnson,178,79,1965
1923,Bill Jones,201,79,1966
1924,Shelton Jones,206,95,1966
1925,Steve Kerr,190,79,1965
1926,Randolph Keys,201,88,1966
1927,Jerome Lane,198,104,1966
1928,Andrew Lang,211,111,1966
1929,Eric Leckner,211,120,1966
1930,Jim Les,180,74,1963
1931,Rob Lock,206,102,1966
1932,Grant Long,203,102,1966
1933,Dan Majerle,198,97,1965
1934,Danny Manning,208,104,1966
1935,Vernon Maxwell,193,81,1965
1936,Todd Mitchell,201,92,1966
1937,Chris Morris,203,95,1966
1938,Richard Morton,190,86,1966
1939,Craig Neal,196,74,1964
1940,Jose Ortiz,208,102,1963
1941,Will Perdue,213,108,1965
1942,Tim Perry,206,90,1965
1943,Dave Popson,208,99,1964
1944,Dominic Pressley,188,77,1964
1945,Mitch Richmond*,196,97,1965
1946,Ramon Rivas,208,117,1966
1947,David Rivers,183,77,1965
1948,Rob Rose,196,81,1964
1949,Jim Rowinski,203,113,1961
1950,Rony Seikaly,211,104,1965
1951,Charles Shackleford,208,102,1966
1952,John Shasky,211,106,1964
1953,Brian Shaw,198,86,1966
1954,Keith Smart,185,79,1964
1955,Charles Smith,208,104,1965
1956,Rik Smits,224,113,1966
1957,John Starks,190,81,1965
1958,Everette Stephens,188,79,1966
1959,Rod Strickland,196,90,1940
1960,Barry Sumpter,211,97,1965
1961,Anthony Taylor,193,79,1965
1962,Tom Tolbert,201,106,1965
1963,Kelvin Upshaw,188,81,1963
1964,Morlon Wiley,193,83,1966
1965,Micheal Williams,188,82,1945
1966,David Wood,206,102,1964
1967,Nick Anderson,198,92,1968
1968,Michael Ansley,201,102,1967
1969,B.J. Armstrong,201,102,1967
1970,Dana Barros,180,73,1967
1971,Kenny Battle,198,95,1964
1972,Winston Bennett,201,95,1965
1973,Mookie Blaylock,183,81,1967
1974,Chucky Brown,201,97,1968
1975,Raymond Brown,203,99,1965
1976,Stanley Brundy,198,95,1967
1977,Torgeir Bryn,206,113,1964
1978,Steve Bucknall,198,97,1966
1979,Adrian Caldwell,203,120,1966
1980,Lanard Copeland,198,86,1965
1981,Terry Davis,206,102,1967
1982,Byron Dinkins,185,77,1967
1983,Vlade Divac,216,110,1968
1984,Sherman Douglas,183,81,1966
1985,Terry Dozier,206,95,1966
1986,Blue Edwards,193,90,1965
1987,Jay Edwards,213,102,1955
1988,Sean Elliott,203,92,1968
1989,Pervis Ellison,206,95,1967
1990,Derrick Gervin,203,90,1963
1991,Greg Grant,170,63,1966
1992,Scott Haffner,190,81,1966
1993,Tom Hammonds,206,97,1967
1994,Tim Hardaway,183,79,1966
1995,Mike Higgins,206,99,1967
1996,Ed Horton,203,104,1967
1997,Byron Irvin,196,86,1966
1998,Jaren Jackson,193,86,1967
1999,Eric Johnson,188,92,1966
2000,Nate Johnston,203,95,1966
2001,Shawn Kemp,208,104,1969
2002,Stan Kimbrough,180,69,1966
2003,Stacey King,211,104,1967
2004,Frank Kornet,206,102,1967
2005,Jeff Lebo,188,81,1966
2006,Tim Legler,193,90,1966
2007,Gary Leonard,216,113,1967
2008,Clifford Lett,190,77,1965
2009,Todd Lichti,193,92,1967
2010,Roy Marble,198,86,1966
2011,Sarunas Marciulionis*,196,90,1964
2012,Jeff Martin,196,88,1967
2013,Anthony Mason,201,113,1966
2014,Bob McCann,198,110,1964
2015,Mel McCants,203,108,1967
2016,George McCloud,198,92,1967
2017,Carlton McKinney,193,86,1964
2018,Scott Meents,208,102,1964
2019,Sam Mitchell,198,95,1963
2020,Mike Morrison,193,88,1967
2021,John Morton,190,81,1967
2022,Dyron Nix,201,95,1967
2023,Zarko Paspalj,206,97,1966
2024,Kenny Payne,203,88,1966
2025,Drazen Petrovic*,196,88,1964
2026,Brian Quinnett,203,106,1966
2027,J.R. Reid,203,106,1966
2028,Glen Rice,201,97,1967
2029,Pooh Richardson,185,81,1966
2030,Clifford Robinson,206,99,1960
2031,David Robinson*,216,106,1965
2032,Doug Roth,211,115,1967
2033,Donald Royal,203,95,1966
2034,Delaney Rudd,188,81,1962
2035,Jeff Sanders,203,102,1966
2036,Dexter Shouse,188,90,1963
2037,Michael Smith,208,102,1965
2038,Jay Taylor,190,86,1967
2039,Leonard Taylor,203,99,1966
2040,Henry Turner,188,88,1938
2041,Gary Voce,206,108,1965
2042,Alexander Volkov,208,98,1964
2043,Doug West,198,90,1967
2044,Randy White,203,108,1967
2045,Mike Williams,188,82,1945
2046,Haywoode Workman,188,81,1966
2047,Alaa Abdelnaby,208,108,1968
2048,Mahmoud Abdul-Rauf,188,83,1942
2049,Keith Askins,201,89,1967
2050,Milos Babic,213,108,1968
2051,Cedric Ball,203,95,1968
2052,Lance Blanks,193,86,1966
2053,Anthony Bonner,203,97,1968
2054,Dee Brown,185,72,1968
2055,Jud Buechler,198,99,1968
2056,Matt Bullard,208,97,1967
2057,Willie Burton,203,95,1968
2058,Rick Calloway,198,81,1966
2059,Elden Campbell,211,97,1968
2060,Duane Causwell,213,108,1968
2061,Cedric Ceballos,198,86,1969
2062,Richard Coffey,198,96,1965
2063,Derrick Coleman,208,104,1967
2064,Bimbo Coles,185,81,1968
2065,Anthony Cook,206,92,1967
2066,Tony Dawson,201,97,1967
2067,Mario Elie,196,95,1963
2068,A.J. English,196,95,1963
2069,Danny Ferry,208,104,1966
2070,Greg Foster,211,108,1968
2071,Tate George,196,86,1968
2072,Kendall Gill,196,88,1968
2073,Gerald Glass,196,100,1967
2074,Dan Godfread,208,113,1967
2075,Jim Grandholm,213,106,1960
2076,Tony Harris,190,86,1967
2077,Steve Henson,180,80,1968
2078,Sean Higgins,206,92,1968
2079,Tyrone Hill,206,108,1968
2080,Dave Jamerson,196,86,1967
2081,Henry James,203,99,1965
2082,Les Jepsen,213,107,1967
2083,Alec Kessler,211,104,1967
2084,Bo Kimble,193,86,1966
2085,Negele Knight,185,79,1967
2086,Kurk Lee,190,86,1967
2087,Marcus Liberty,203,92,1968
2088,Ian Lockhart,203,108,1967
2089,Tony Massenburg,206,99,1967
2090,Travis Mays,188,86,1968
2091,Terry Mills,208,104,1967
2092,Chris Munk,206,102,1967
2093,Jerrod Mustaf,208,107,1969
2094,Dan O'Sullivan,208,113,1968
2095,Alan Ogg,218,108,1967
2096,Brian Oliver,193,95,1968
2097,Gerald Paddio,201,92,1965
2098,Walter Palmer,216,97,1968
2099,Gary Payton*,193,81,1968
2100,Kevin Pritchard,190,81,1967
2101,Larry Robinson,190,81,1968
2102,Rumeal Robinson,188,88,1966
2103,Steve Scheffler,206,113,1967
2104,Dwayne Schintzius,216,117,1968
2105,Dennis Scott,203,103,1968
2106,Lionel Simmons,201,95,1968
2107,Tony Smith,201,95,1968
2108,Felton Spencer,213,120,1968
2109,Irving Thomas,203,102,1966
2110,Andy Toolson,198,95,1966
2111,Loy Vaught,206,104,1968
2112,Stojko Vrankovic,218,117,1964
2113,Jayson Williams,206,108,1968
2114,Kenny Williams,188,79,1961
2115,Scott Williams,208,104,1968
2116,Trevor Wilson,201,95,1968
2117,Kennard Winchester,196,95,1966
2118,Howard Wright,190,83,1947
2119,A.J. Wynder,190,83,1947
2120,Victor Alexander,206,120,1969
2121,Kenny Anderson,183,76,1970
2122,Greg Anthony,183,79,1967
2123,Stacey Augmon,203,92,1968
2124,Isaac Austin,208,115,1969
2125,Steve Bardo,196,86,1968
2126,David Benoit,203,99,1968
2127,Terrell Brandon,180,81,1970
2128,Kevin Brooks,198,90,1969
2129,Myron Brown,190,81,1969
2130,Randy Brown,203,99,1965
2131,Demetrius Calip,185,74,1969
2132,Pete Chilcutt,208,104,1968
2133,Marty Conlon,208,101,1968
2134,Tom Copa,208,124,1964
2135,Chris Corchiani,183,83,1968
2136,Corey Crowder,196,97,1969
2137,Dale Davis,211,104,1969
2138,Bison Dele,206,106,1969
2139,Patrick Eddie,211,108,1967
2140,LeRon Ellis,208,95,1940
2141,Rick Fox,201,104,1969
2142,Chris Gatling,208,99,1967
2143,Paul Graham,198,90,1967
2144,Sean Green,196,95,1970
2145,Carl Herrera,206,97,1966
2146,Donald Hodge,213,104,1969
2147,Brian Howard,198,92,1967
2148,Cedric Hunter,183,81,1965
2149,Mike Iuzzolino,178,79,1968
2150,Rich King,218,117,1969
2151,Doug Lee,196,90,1964
2152,Luc Longley,218,120,1969
2153,Kevin Lynch,196,88,1968
2154,Mark Macon,196,83,1969
2155,Tharon Mayes,190,79,1968
2156,Rodney Monroe,190,83,1968
2157,Tracy Moore,193,90,1965
2158,Eric Murdock,185,86,1968
2159,Dikembe Mutombo*,218,111,1966
2160,Jimmy Oliver,196,92,1969
2161,Billy Owens,203,99,1969
2162,Keith Owens,201,102,1969
2163,Robert Pack,188,81,1969
2164,Elliot Perry,183,68,1969
2165,Bobby Phills,196,95,1969
2166,Mark Randall,203,106,1967
2167,Stanley Roberts,213,129,1970
2168,Doug Smith,188,86,1920
2169,LaBradford Smith,203,97,1958
2170,Steve Smith,201,90,1969
2171,Larry Stewart,203,99,1968
2172,Derek Strong,203,99,1968
2173,Lamont Strothers,193,86,1968
2174,Greg Sutton,188,77,1967
2175,Carl Thomas,193,79,1969
2176,Charles Thomas,190,79,1969
2177,Stephen Thompson,193,83,1968
2178,John Turner,203,111,1967
2179,Joao Vianna,206,97,1966
2180,Eric Anderson,206,99,1970
2181,Anthony Avent,206,106,1969
2182,Jon Barry,193,88,1969
2183,Tony Bennett,183,79,1969
2184,Alex Blackwell,198,113,1970
2185,Ricky Blanton,201,97,1966
2186,Walter Bond,196,90,1969
2187,Dexter Cambridge,201,101,1970
2188,Doug Christie,198,90,1970
2189,Duane Cooper,185,83,1969
2190,Joe Courtney,203,106,1969
2191,John Crotty,185,83,1969
2192,Radisav Curcic,208,124,1965
2193,Lloyd Daniels,201,92,1967
2194,Hubert Davis,196,83,1970
2195,Todd Day,198,85,1970
2196,Richard Dumas,190,77,1970
2197,Pat Durham,201,95,1967
2198,LaPhonso Ellis,203,108,1970
2199,Matt Geiger,213,110,1969
2200,Litterial Green,185,83,1970
2201,Tom Gugliotta,208,108,1969
2202,Jay Guidinger,208,115,1969
2203,Robert Horry,206,99,1970
2204,Byron Houston,196,113,1969
2205,Stephen Howard,206,102,1970
2206,Jim Jackson,198,99,1970
2207,Keith Jennings,170,72,1968
2208,Dave Johnson,201,95,1970
2209,Thomas Jordan,208,99,1968
2210,Adam Keefe,206,104,1970
2211,Christian Laettner,211,106,1969
2212,Sam Mack,201,99,1970
2213,Don MacLean,208,106,1970
2214,Marlon Maxey,203,113,1969
2215,Lee Mayberry,185,78,1970
2216,Oliver Miller,206,127,1970
2217,Harold Miner,196,95,1971
2218,Isaiah Morris,203,103,1969
2219,Alonzo Mourning*,208,108,1970
2220,Tracy Murray,201,102,1971
2221,Melvin Newbern,193,90,1967
2222,Shaquille O'Neal*,216,147,1972
2223,Matt Othick,188,74,1969
2224,Doug Overton,190,86,1969
2225,Anthony Peeler,193,94,1969
2226,Brent Price,185,74,1968
2227,Anthony Pullard,208,111,1966
2228,Sean Rooks,208,113,1969
2229,Malik Sealy,203,86,1970
2230,Chris Smith,208,104,1965
2231,Reggie Smith,208,108,1970
2232,Andre Spencer,198,95,1964
2233,Elmore Spencer,213,122,1969
2234,Latrell Sprewell,196,86,1970
2235,Barry Stevens,196,88,1963
2236,Bryant Stith,196,94,1970
2237,Gundars Vetra,198,88,1967
2238,Clarence Weatherspoon,198,108,1970
2239,Marcus Webb,206,115,1970
2240,Robert Werdann,211,113,1970
2241,Corey Williams,188,86,1970
2242,Lorenzo Williams,206,90,1969
2243,Walt Williams,193,88,1923
2244,Randy Woods,178,83,1970
2245,Gary Alexander,201,108,1969
2246,Vin Baker,211,105,1971
2247,Corie Blount,206,108,1969
2248,Shawn Bradley,229,106,1972
2249,P.J. Brown,229,106,1972
2250,Evers Burns,203,117,1971
2251,Scott Burrell,201,98,1971
2252,Mitchell Butler,188,77,1946
2253,Sam Cassell,190,83,1969
2254,Calbert Cheaney,201,94,1971
2255,Michael Curry,196,95,1968
2256,Antonio Davis,206,97,1968
2257,Brian Davis,190,81,1955
2258,Terry Dehere,188,86,1971
2259,Dell Demps,190,92,1970
2260,Acie Earl,208,108,1970
2261,Bill Edwards,203,97,1971
2262,Doug Edwards,201,99,1971
2263,Harold Ellis,196,90,1970
2264,Alphonso Ford,185,86,1971
2265,Chad Gallagher,208,115,1969
2266,Andrew Gaze,201,92,1965
2267,Ricky Grace,185,81,1967
2268,Greg Graham,193,78,1970
2269,Josh Grant,206,101,1967
2270,Andres Guibert,208,102,1968
2271,Geert Hammink,213,118,1969
2272,Anfernee Hardaway,201,88,1971
2273,Lucious Harris,196,86,1970
2274,Antonio Harvey,211,102,1970
2275,Scott Haskin,211,113,1970
2276,Skeeter Henry,201,86,1967
2277,Allan Houston,198,90,1971
2278,Lindsey Hunter,188,77,1970
2279,Bobby Hurley,183,74,1971
2280,Stanley Jackson,190,83,1970
2281,Chris Jent,201,99,1970
2282,Ervin Johnson,188,92,1966
2283,Popeye Jones,203,113,1970
2284,Adonis Jordan,180,77,1970
2285,Reggie Jordan,193,88,1968
2286,Warren Kidd,206,106,1970
2287,Chris King,203,97,1969
2288,Toni Kukoc,208,87,1968
2289,George Lynch,203,98,1970
2290,Malcolm Mackey,206,112,1970
2291,Gerald Madkins,193,90,1969
2292,Bob Martin,213,113,1969
2293,Jamal Mashburn,203,108,1972
2294,Darnell Mee,196,79,1971
2295,Chris Mills,198,97,1970
2296,Darren Morningstar,208,106,1969
2297,Gheorghe Muresan,231,137,1971
2298,Bo Outlaw,203,95,1971
2299,Mike Peplowski,208,122,1970
2300,Richard Petruska,208,117,1969
2301,Dino Radja,211,102,1967
2302,Isaiah Rider,196,97,1971
2303,Eric Riley,213,111,1970
2304,James Robinson,198,95,1955
2305,Rodney Rogers,201,106,1971
2306,Bryon Russell,201,102,1970
2307,Kevin Thompson,211,117,1971
2308,Keith Tower,211,113,1970
2309,Nick Van,211,113,1970
2310,Rex Walters,193,86,1970
2311,Chris Webber,206,111,1973
2312,Matt Wenstrom,216,113,1970
2313,David Wesley,183,86,1970
2314,Chris Whitney,183,76,1971
2315,Aaron Williams,206,99,1971
2316,Luther Wright,218,122,1971
2317,Derrick Alston,211,102,1972
2318,Darrell Armstrong,183,77,1968
2319,Sergei Bazarevich,188,76,1965
2320,Elmer Bennett,183,77,1970
2321,James Blackwell,183,86,1968
2322,Tim Breaux,201,97,1970
2323,Chris Childs,190,88,1967
2324,Bill Curley,206,99,1972
2325,Yinka Dare,213,120,1972
2326,Tony Dumas,198,86,1972
2327,Howard Eisley,188,80,1972
2328,Matt Fish,211,106,1969
2329,Brian Grant,206,115,1972
2330,Darrin Hancock,201,92,1971
2331,Jerome Harmon,193,86,1969
2332,Grant Hill,203,102,1972
2333,Tom Hovasse,203,92,1967
2334,Juwan Howard,206,108,1973
2335,Askia Jones,196,90,1971
2336,Eddie Jones,208,102,1956
2337,Jason Kidd,193,92,1973
2338,Antonio Lang,211,111,1966
2339,Ryan Lorthridge,193,86,1972
2340,Donyell Marshall,206,98,1973
2341,Darrick Martin,180,77,1971
2342,Jim McIlvaine,216,108,1972
2343,Aaron McKie,196,94,1972
2344,Anthony Miller,206,102,1971
2345,Greg Minor,198,95,1971
2346,Eric Mobley,211,106,1970
2347,Eric Montross,213,122,1971
2348,Dwayne Morton,201,88,1971
2349,Lamond Murray,201,107,1973
2350,Ivano Newbill,206,111,1970
2351,Julius Nwosu,208,115,1971
2352,Wesley Person,198,88,1971
2353,Derrick Phelps,193,82,1972
2354,Eric Piatkowski,201,97,1970
2355,Eldridge Recasner,190,86,1967
2356,Khalid Reeves,190,90,1972
2357,Glenn Robinson,201,102,1973
2358,Carlos Rogers,211,99,1971
2359,Jalen Rose,203,95,1973
2360,Clifford Rozier,211,111,1972
2361,Trevor Ruffin,185,83,1970
2362,Dickey Simpkins,206,112,1972
2363,Reggie Slater,201,97,1970
2364,Mark Strickland,206,95,1970
2365,Aaron Swinson,196,104,1971
2366,Zan Tabak,213,111,1970
2367,Brooks Thompson,193,87,1970
2368,Anthony Tucker,203,99,1969
2369,B.J. Tyler,203,99,1969
2370,Fred Vinson,193,86,1971
2371,Charlie Ward,188,86,1970
