,Player,height,weight,born
649,Jesse Branson,201,88,1942
650,Bill Buntin,201,113,1942
651,Barry Clemens,198,95,1943
652,Billy Cunningham*,198,95,1943
653,Keith Erickson,196,88,1944
654,John Fairchild,203,92,1943
655,Will Frazier,201,95,1942
656,Gail Goodrich*,185,77,1943
657,Fred Hetzel,203,99,1942
658,Jon McGlocklin,196,92,1943
659,Thales McReynolds,190,83,1943
660,Ron Reed,196,92,1942
661,Jerry Sloan*,196,88,1942
662,Willie Somerset,173,77,1942
663,Dave Stallworth,201,90,1941
664,Joe Strawder,208,106,1940
665,Dick Van,208,106,1940
666,Tom Van,208,106,1940
667,Bob Warlick,196,90,1941
668,Jim Washington,198,95,1943
669,Ron Watts,198,95,1943
670,Bob Weiss,188,81,1942
671,Henry Akin,208,102,1944
672,Johnny Austin,183,77,1944
673,Jim Barnett,203,95,1941
674,Dave Bing*,190,81,1943
675,John Block,206,93,1944
676,Nate Bowman,208,104,1943
677,Jerry Chambers,196,83,1943
678,Archie Clark,188,79,1941
679,Freddie Crawford,193,85,1941
680,Dave Deutsch,185,77,1945
681,Joe Ellis,198,79,1944
682,Hank Finkel,213,108,1942
683,Matt Guokas,190,88,1915
684,Bob Hogsett,201,104,1941
685,Lou Hudson,196,95,1944
686,Neil Johnson,203,95,1929
687,Toby Kimball,198,99,1942
688,Tommy Kron,196,90,1943
689,Clyde Lee,208,92,1944
690,Bob Love,203,97,1942
691,Jack Marin,201,90,1944
692,Bill Melchionni,185,74,1944
693,Wayne Molis,203,104,1943
694,Erwin Mueller,203,104,1944
695,Dorie Murrey,203,97,1943
696,Flynn Robinson,185,83,1941
697,Cazzie Russell,196,98,1944
698,Dave Schellhase,190,92,1944
699,Dick Snyder,196,93,1944
700,Jim Ware,201,95,1944
701,Walt Wesley,211,99,1945
702,Bud Acton,198,95,1942
703,Cliff Anderson,188,90,1944
704,Bill Bradley*,196,92,1943
705,Tyrone Britt,193,86,1944
706,Jim Burns,190,88,1945
707,Jim Caldwell,208,108,1943
708,George Carter,193,95,1944
709,Jim Davis,206,102,1941
710,Bill Dinwiddie,201,99,1943
711,Sonny Dove,201,89,1945
712,Ron Filipek,196,92,1944
713,Jim Fox,208,104,1943
714,Walt Frazier*,193,90,1945
715,Mal Graham,185,83,1945
716,Gary Gray,185,83,1945
717,Dennis Hamilton,203,95,1944
718,Clem Haskins,190,88,1943
719,Al Jackson,185,83,1943
720,Phil Jackson*,203,99,1945
721,Johnny Jones,201,92,1943
722,Nick Jones,188,86,1945
723,Dave Lattin,198,102,1943
724,George Lehmann,183,81,1942
725,Bobby Lewis,190,79,1945
726,Paul Long,188,81,1944
727,Plummer Lott,196,95,1945
728,Ed Manning,201,95,1944
729,Stan McKenzie,196,88,1944
730,Jay Miller,196,92,1943
731,Earl Monroe*,190,83,1944
732,George Patterson,203,104,1939
733,Jim Reid,198,95,1945
734,Pat Riley*,193,92,1945
735,Bob Rule,206,99,1944
736,Craig Spitzer,213,102,1945
737,Al Tucker,203,86,1943
738,Bill Turner,201,99,1944
739,Jimmy Walker,190,88,1944
740,Rick Weitzman,188,79,1946
741,Roland West,193,80,1944
742,John Wetzel,196,86,1944
743,Ken Wilburn,198,88,1944
744,Art Williams,185,81,1939
745,Tom Workman,201,98,1944
746,Zaid Abdul-Aziz,206,106,1946
747,Rick Adelman,185,79,1946
748,Bob Allen,206,92,1946
749,Harry Barnes,190,92,1945
750,Ed Biedenbach,185,79,1945
751,Tom Boerwinkle,213,120,1945
752,Jay Carty,203,99,1941
753,Don Chaney,196,95,1946
754,Dick Cunningham,208,111,1946
755,Fred Foster,196,95,1946
756,Pat Frink,193,88,1945
757,Gary Gregor,201,102,1945
758,Al Hairston,185,77,1945
759,Shaler Halimon,196,90,1945
760,Skip Harlicka,185,83,1946
761,Art Harris,193,83,1947
762,Elvin Hayes*,206,106,1945
763,Bill Hewitt,201,95,1944
764,Bill Hosket,203,102,1946
765,Rich Johnson,201,95,1946
766,Bob Kauffman,203,108,1946
767,Joe Kennedy,198,95,1947
768,Rod Knowles,206,97,1946
769,Stu Lantz,190,79,1946
770,Don May,193,90,1946
771,Otto Moore,211,92,1946
772,Dave Newmark,213,108,1946
773,Rich Niemann,213,111,1946
774,Barry Orms,190,86,1946
775,Charlie Paulk,203,99,1946
776,Loy Petersen,196,92,1945
777,Bob Quick,196,97,1946
778,Craig Raymond,211,106,1945
779,Mike Riordan,193,90,1945
780,Dale Schlueter,208,102,1945
781,Doug Sims,201,88,1943
782,Greg Smith,196,88,1947
783,John Trapp,201,95,1945
784,Wes Unseld*,201,111,1946
785,Dwight Waller,198,99,1945
786,Cliff Williams,190,81,1945
787,Ron Williams,190,85,1944
788,Sam Williams,190,81,1945
789,Kareem Abdul-Jabbar*,218,102,1947
790,Lucius Allen,188,79,1947
791,Wally Anderzunas,201,99,1946
792,John Arthurs,193,83,1947
793,Johnny Baum,196,90,1946
794,Butch Beard,190,83,1947
795,Fred Carter,190,83,1945
796,Bob Dandridge,198,88,1947
797,Mike Davis,190,83,1946
798,Dick Garrett,190,83,1947
799,Herm Gilliam,190,86,1946
800,Bob Greacen,201,93,1947
801,Lamar Green,201,95,1947
802,Connie Hawkins*,203,95,1942
803,Brian Heaney,188,81,1946
804,Steve Kuberski,203,97,1947
805,Mike Lynn,201,97,1945
806,Willie McCarter,190,79,1946
807,Steve Mix,201,97,1947
808,Grady O'Malley,196,92,1948
809,Bud Ogden,198,97,1946
810,Bob Portman,196,90,1947
811,Luther Rackley,208,99,1946
812,George Reynolds,193,88,1947
813,Rick Roberson,206,104,1947
814,Dave Scholz,203,99,1948
815,Bingo Smith,196,86,1939
